City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
83,Castro,-24.79,-50.01,57.52,85,0,4.09,BR,clear sky
84,Kaitangata,-46.28,169.85,57.99,47,61,10.0,NZ,broken clouds
85,Lagos,6.58,3.75,73.47,91,74,5.06,NG,broken clouds
86,Dikson,73.51,80.55,42.67,77,92,23.15,RU,overcast clouds
87,Bethel,41.37,-73.41,66.2,82,1,4.61,US,clear sky
88,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,scattered clouds
89,Hovd,48.01,91.64,66.69,33,100,2.95,MN,overcast clouds
90,Vestmanna,62.16,-7.17,51.8,100,100,9.17,FO,heavy intensity drizzle
91,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,scattered clouds
92,Pisco,-13.7,-76.22,60.8,82,94,3.36,PE,overcast clouds
93,Hermanus,-34.42,19.23,52.23,84,4,7.61,ZA,clear sky
94,Tilichiki,60.47,166.1,48.76,69,100,5.61,RU,overcast clouds
95,Matagami,49.75,-77.63,53.6,71,90,13.76,CA,overcast clouds
96,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
97,Leshukonskoye,64.9,45.76,58.32,94,100,8.39,RU,light rain
98,Yellowknife,62.46,-114.35,44.01,80,40,5.82,CA,scattered clouds
99,Barrow,71.29,-156.79,37.4,93,75,5.82,US,fog
100,Ekibastuz,51.67,75.37,53.37,51,53,18.43,KZ,broken clouds
101,Victoria,22.29,114.16,88.0,74,67,8.01,HK,broken clouds
102,Hamilton,39.18,-84.53,73.0,73,90,8.05,US,overcast clouds
103,Vestmannaeyjar,63.44,-20.27,50.67,83,99,25.84,IS,light rain
104,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
105,Hobart,-42.88,147.33,72.0,42,100,16.11,AU,overcast clouds
106,Winneba,5.35,-0.62,75.2,94,20,11.41,GH,few clouds
107,Busselton,-33.65,115.33,60.01,62,13,8.99,AU,light rain
108,Vao,-22.67,167.48,70.7,79,100,20.18,NC,overcast clouds
109,Cururupu,-1.83,-44.87,73.49,89,9,3.31,BR,clear sky
110,Yellowknife,62.46,-114.35,44.01,80,40,5.82,CA,scattered clouds
111,Shiraoi,42.55,141.35,81.0,83,75,14.99,JP,broken clouds
112,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,clear sky
113,Srandakan,-7.94,110.25,83.93,64,86,13.73,ID,overcast clouds
114,Raudeberg,61.99,5.14,50.0,93,100,21.9,NO,light rain
115,Ahipara,-35.17,173.17,59.05,77,23,14.72,NZ,few clouds
116,Indramayu,-6.33,108.32,87.58,51,55,10.09,ID,broken clouds
117,Upernavik,72.79,-56.15,34.32,87,99,8.46,GL,overcast clouds
118,Soyo,-6.13,12.37,72.97,87,74,6.42,AO,broken clouds
119,Vaini,-21.2,-175.2,75.2,64,75,12.75,TO,broken clouds
120,Tasiilaq,65.61,-37.64,35.6,100,81,1.12,GL,mist
