City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1220,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
1221,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1224,Progreso,MX,82.4,scattered clouds,21.28,-89.67,Playa Linda Hotel
1230,Pontianak,ID,82.69,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
1235,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1238,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1240,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
1242,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
1243,Biak,ID,81.43,moderate rain,-0.91,122.88,Kost Ariz
1251,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.08,Scoop Guest House
1253,Dingle,PH,88.0,overcast clouds,11.0,122.67,Camp Pasica
1258,Warangal,IN,83.43,broken clouds,18.0,79.58,Capital O 66968 Haveli The Landmark
1261,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
1263,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.08,Scoop Guest House
1266,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
1270,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1271,Gazanjyk,TM,76.1,clear sky,39.24,55.52,Railway motel
1273,Xinzhi,CN,89.11,clear sky,36.5,111.7,Mingyue Hotel
1276,Nabire,ID,83.61,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
1287,Marang,MY,87.8,few clouds,5.21,103.21,DBarakah Homestay
1289,San-Pedro,CI,75.13,light rain,4.75,-6.64,Hotel Maria
1298,Esna,EG,87.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
1302,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
1307,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1311,Honiara,SB,89.6,scattered clouds,-9.43,159.95,Heritage Park Hotel
1315,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1320,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1325,Acapulco,MX,80.51,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
1327,Ciamis,ID,83.14,light rain,-7.33,108.35,The Priangan Boutique Hotel @ Yos Sudarso
1336,Mopti,ML,75.2,clear sky,14.67,-4.0,
1338,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1343,Meghri,AM,80.87,broken clouds,38.9,46.24,Haer B&B
1349,Yumen,CN,81.95,scattered clouds,40.28,97.2,
1353,Bambanglipuro,ID,83.98,overcast clouds,-7.95,110.28,Puri Brata
1360,Estelle,US,82.99,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
1361,Barahona,DO,80.46,overcast clouds,18.21,-71.1,Hotel Caribe
1363,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1366,Digras,IN,83.64,light rain,20.12,77.72,पडगीलवार ले आऊट
1374,Bambanglipuro,ID,83.98,overcast clouds,-7.95,110.28,Puri Brata
1375,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
1381,Ixtapa,MX,80.01,light rain,20.7,-105.2,Container Inn Puerto Vallarta
